We report an unusual case of an amyloidoma of the gasserian ganglion associated with trigeminal neuralgia. MR imaging showed a mass in Meckel's cave, which was isointense with surrounding tissue on T1-weighted images and hypointense on T2-weighted images. After contrast administration, the mass enhanced homogeneously, and thin cuts through the region showed involvement in the expected location of the gasserian ganglion and, more laterally and inferiorly, in the proximal part of V1. A review of the literature revealed that only one similar case has been reported since the advent of modern neuroimaging. Amyloidoma, although rare, may be considered as a rare differential diagnosis of a mass in this region.	0
Since 1970, WHO has conducted a collaborative study on the use of "excess mortality" from respiratory diseases (that is, the number of deaths actually recorded in excess of the number expected on the basis of past seasonal experience) in order to assess in 13 different countries the severity of influenza epidemics. The use of computer-produced seasonal expected and actual curves permits quick visual assessment of influenza activity in any one country, as well as comparisons between different countries. The study demonstrates that an excess in the observed over the expected number of total deaths does not necessarily indicate an excess in deaths from influenza, and it is therefore limited, at least for the present time, to deaths from respiratory disease. It provides a week-to-week record of deaths from acute respiratory disease in countries where weekly returns are available and a retrospective analysis of the disease pattern in the collaborating countries. This study will be continued for a number of years and, apart from its value to the individual countries, should provide useful comparisons between countries with different climates.	0
Polypeptide-tag/small-molecule pairs for specific cellular protein labeling are useful for visualizing cellular proteins and controlling their activity. Here, we report the development of an in vitro evolution-based (poly)peptide tag identification system named the DIVERSE (Directed In Vitro Evolution of Reactive peptide tags via Sequential Enrichment) system. In this system, an extremely diverse (10(14)) library of peptide tags, displayed by covalent attachment to their encoding cDNAs, is continuously prepared from the DNA library in a one-pot approach. Using this system, we demonstrated de novo creation of non-enzymatically covalent-labeling peptide tags for a synthetic small-molecule target from a random peptide library. Protein labeling with these tags was applicable to N- and C-terminal fusions, multiple different proteins and fluorophores, and intracellular labeling. The DIVERSE system can be used not only for the de novo creation of polypeptide tags but also sequence optimization of existing polypeptide tags from extremely diverse libraries.	0
PKG is a multifaceted signaling molecule and potential pharmaceutical target due to its role in smooth muscle function. A helix identified in the structure of the regulatory domain of PKG Iα suggests a novel architecture of the holoenzyme. In this study, a set of synthetic peptides (S-tides), derived from this helix, was found to bind to and activate PKG Iα in a cyclic guanosine monophosphate (cGMP)-independent manner. The most potent S-tide derivative (S1.5) increased the open probability of the potassium channel KCa1.1 to levels equivalent to saturating cGMP. Introduction of S1.5 to smooth muscle cells in isolated, endothelium-denuded cerebral arteries through a modified reversible permeabilization procedure inhibited myogenic constriction. In contrast, in endothelium-intact vessels S1.5 had no effect on myogenic tone. This suggests that PKG Iα activation by S1.5 in vascular smooth muscle would be sufficient to inhibit augmented arterial contractility that frequently occurs following endothelial damage associated with cardiovascular disease.	0
Gram-negative bacteria utilize heptoses as part of their repertoire of extracellular polysaccharide virulence determinants. Disruption of heptose biosynthesis offers an attractive target for novel antimicrobials. A critical step in the synthesis of heptoses is their 1-O phosphorylation, mediated by kinases such as HldE or WcbL. Here, we present the structure of WcbL from Burkholderia pseudomallei. We report that WcbL operates through a sequential ordered Bi-Bi mechanism, loading the heptose first and then ATP. We show that dimeric WcbL binds ATP anti-cooperatively in the absence of heptose, and cooperatively in its presence. Modeling of WcbL suggests that heptose binding causes an elegant switch in the hydrogen-bonding network, facilitating the binding of a second ATP molecule. Finally, we screened a library of drug-like fragments, identifying hits that potently inhibit WcbL. Our results provide a novel mechanism for control of substrate binding and emphasize WcbL as an attractive anti-microbial target for Gram-negative bacteria.	0
Each month, Chemistry & Biology Select highlights a selection of research reports from the recent literature. These highlights are a snapshot of interesting research done across the field of chemical biology. Our December 2015 selection includes an insight into how vitamin C destroys cancer cells, a new method that makes possible the investigatation of sulfhydration, and the mapping of the CFTR interactome and how it depends on the environmental conditions and differs between wild-type and disease-causing mutant.	0
Halophilic organisms thrive in environments with extreme salt concentrations and have adapted by allowing molar quantities of cosolutes, mainly KCl, to accumulate in their cytoplasm. To cope with this high intracellular salinity, halophilic organisms modified the chemical composition of their proteins to enrich their surface with acidic and short polar side chains, while lysines and bulky hydrophobic residues got depleted. We have emulated the evolutionary process of haloadaptation with natural and designed halophilic polypeptides and applied novel nuclear magnetic resonance (NMR) methodology to study the different mechanisms contributing to protein haloadaptation at a per residue level. Our analysis of an extensive set of NMR observables, determined over several proteins, allowed us to disentangle the synergistic contributions of protein haloadaptation: cation exclusion and electrostatic repulsion between negatively charged residues destabilize the denatured state ensemble while cumulative weak cation-protein interactions stabilize the folded conformations.	0
The phospholipase-catalyzed release of free fatty acids (FFAs) from phospholipids is implicated in many critical biological processes such as neurotransmission, inflammation, and cancer. However, determining the individual change in FFAs generated during these processes has remained challenging due to the limitations of current methods, and has hampered our understanding of these key mediators. Here, we developed an "iTRAQ"-like method for profiling FFAs by stable isotope tagging (FFAST), based on the differential labeling of the carboxyl group and designed to resolve analytical variance, through a multiplexed assay in cells and subcellular fractions. With nanomolar sensitivity, this method revealed a spectrum of saturated FFAs elicited during stimulation of exocytosis that was identical in neurons and neurosecretory cells. Purified secretory vesicles also generated these FFAs when challenged with cytosol. Our multiplex method will be invaluable to assess the range of FFAs generated in other physiological and pathological settings.	0
Current approaches for optogenetic control of transcription do not mimic the activity of endogenous transcription factors, which act at numerous sites in the genome in a complex interplay with other factors. Optogenetic control of dominant negative versions of endogenous transcription factors provides a mechanism for mimicking the natural regulation of gene expression. Here we describe opto-DN-CREB, a blue-light-controlled inhibitor of the transcription factor CREB created by fusing the dominant negative inhibitor A-CREB to photoactive yellow protein (PYP). A light-driven conformational change in PYP prevents coiled-coil formation between A-CREB and CREB, thereby activating CREB. Optogenetic control of CREB function was characterized in vitro, in HEK293T cells, and in neurons where blue light enabled control of expression of the CREB targets NR4A2 and c-Fos. Dominant negative inhibitors exist for numerous transcription factors; linking these to optogenetic domains offers a general approach for spatiotemporal control of native transcriptional events.	0
Vitamin D3 is made in the skin from 7-dehydrocholesterol under the influence of UV light. Vitamin D2 (ergocalciferol) is derived from the plant sterol ergosterol. Vitamin D is metabolized first to 25 hydroxyvitamin D (25OHD), then to the hormonal form 1,25-dihydroxyvitamin D (1,25(OH)2D). CYP2R1 is the most important 25-hydroxylase; CYP27B1 is the key 1-hydroxylase. Both 25OHD and 1,25(OH)2D are catabolized by CYP24A1. 1,25(OH)2D is the ligand for the vitamin D receptor (VDR), a transcription factor, binding to sites in the DNA called vitamin D response elements (VDREs). There are thousands of these binding sites regulating hundreds of genes in a cell-specific fashion. VDR-regulated transcription is dependent on comodulators, the profile of which is also cell specific. Analogs of 1,25(OH)2D are being developed to target specific diseases with minimal side effects. This review will examine these different aspects of vitamin D metabolism, mechanism of action, and clinical application.	0
